Step#    X(mm)    Y(mm)    Z(mm) KinE(MeV)  dE(MeV) StepLeng TrackLeng  NextVolume ProcName
   73    -1.17    0.179     49.1   1.2e+05    0.221     0.72       249 support_telescope1_phys_0 Transportation
   74    -1.17    0.179     50.9   1.2e+05     0.39     1.81       251       World Transportation
   75    -1.17    0.178       99   1.2e+05    0.011     48.1       299 sensor_telescope2_phys Transportation
   76    -1.17    0.178       99   1.2e+05  0.00173     0.01       299 sensor_telescope2_phys StepLimiter
   77    -1.17    0.178       99   1.2e+05  0.00185     0.01       299 sensor_telescope2_phys StepLimiter
   78    -1.17    0.178     99.1   1.2e+05  0.00331     0.01       299 sensor_telescope2_phys StepLimiter
   79    -1.17    0.178     99.1   1.2e+05  0.00167     0.01       299 sensor_telescope2_phys StepLimiter
   80    -1.17    0.178     99.1   1.2e+05  0.00251     0.01       299 sensor_telescope2_phys StepLimiter
   81    -1.17    0.178     99.1   1.2e+05  0.00139     0.01       299 sensor_telescope2_phys StepLimiter
   82    -1.17    0.178     99.1   1.2e+05  0.00142     0.01       299 sensor_telescope2_phys StepLimiter
   83    -1.17    0.178     99.1   1.2e+05  0.00251     0.01       299 sensor_telescope2_phys StepLimiter
   84    -1.17    0.178     99.1   1.2e+05  0.00218     0.01       299 sensor_telescope2_phys StepLimiter
   85    -1.17    0.178     99.1   1.2e+05  0.00192     0.01       299 sensor_telescope2_phys StepLimiter
   86    -1.17    0.178     99.1   1.2e+05  0.00126     0.01       299 sensor_telescope2_phys StepLimiter
   87    -1.17    0.178     99.1   1.2e+05  0.00244     0.01       299 sensor_telescope2_phys StepLimiter
   88    -1.17    0.178     99.2   1.2e+05   0.0025     0.01       299 sensor_telescope2_phys StepLimiter
   89    -1.17    0.178     99.2   1.2e+05  0.00345     0.01       299 sensor_telescope2_phys StepLimiter
   90    -1.17    0.178     99.2   1.2e+05  0.00212     0.01       299 sensor_telescope2_phys StepLimiter
   91    -1.17    0.178     99.2   1.2e+05   0.0024     0.01       299 sensor_telescope2_phys StepLimiter
   92    -1.17    0.178     99.2   1.2e+05  0.00174     0.01       299 sensor_telescope2_phys StepLimiter
   93    -1.17    0.178     99.2   1.2e+05  0.00279     0.01       299 sensor_telescope2_phys StepLimiter
   94    -1.17    0.178     99.2   1.2e+05  0.00215     0.01       299 sensor_telescope2_phys StepLimiter
   95    -1.17    0.178     99.2   1.2e+05  0.00134     0.01       299 sensor_telescope2_phys StepLimiter
   96    -1.17    0.178     99.2   1.2e+05  0.00324     0.01       299 sensor_telescope2_phys StepLimiter
   97    -1.17    0.178     99.2   1.2e+05  0.00264     0.01       299 sensor_telescope2_phys StepLimiter
   98    -1.17    0.178     99.3   1.2e+05  0.00141     0.01       299 sensor_telescope2_phys StepLimiter
   99    -1.17    0.178     99.3   1.2e+05  0.00563     0.01       299 sensor_telescope2_phys StepLimiter
  100    -1.17    0.178     99.3   1.2e+05  0.00193     0.01       299 sensor_telescope2_phys StepLimiter
  101    -1.17    0.178     99.3   1.2e+05  0.00264     0.01       299 sensor_telescope2_phys StepLimiter
  102    -1.17    0.178     99.3   1.2e+05  0.00241     0.01       299 sensor_telescope2_phys StepLimiter
  103    -1.17    0.178     99.3   1.2e+05  0.00328     0.01       299 sensor_telescope2_phys StepLimiter
  104    -1.17    0.178     99.3   1.2e+05   0.0053     0.01       299 sensor_telescope2_phys StepLimiter
  105    -1.17    0.178     99.3   1.2e+05  0.00728     0.01       299 sensor_telescope2_phys StepLimiter
  106    -1.17    0.178     99.3   1.2e+05  0.00251  0.00824       299 bumps_wrapper_telescope2_phys Transportation
  107    -1.17    0.178     99.4   1.2e+05 4.01e-06   0.0205       299 chip_telescope2_phys Transportation
  108    -1.17    0.178      100   1.2e+05     0.25    0.719       300 support_telescope2_phys_0 Transportation
  109    -1.17    0.178      102   1.2e+05    0.418     1.81       302       World Transportation
  110    -1.17    0.175      202   1.2e+05   0.0206     99.8       402 sensor_telescope3_phys Transportation
  111    -1.17    0.175      202   1.2e+05  0.00118     0.01       402 sensor_telescope3_phys StepLimiter
  112    -1.17    0.175      202   1.2e+05  0.00282     0.01       402 sensor_telescope3_phys StepLimiter
  113    -1.17    0.175      202   1.2e+05  0.00601     0.01       402 sensor_telescope3_phys StepLimiter
  114    -1.17    0.175      202   1.2e+05  0.00155     0.01       402 sensor_telescope3_phys StepLimiter
  115    -1.17    0.175      202   1.2e+05  0.00285     0.01       402 sensor_telescope3_phys StepLimiter
  116    -1.17    0.175      202   1.2e+05  0.00167     0.01       402 sensor_telescope3_phys StepLimiter
  117    -1.17    0.175      202   1.2e+05  0.00221     0.01       402 sensor_telescope3_phys StepLimiter
  118    -1.17    0.175      202   1.2e+05  0.00214     0.01       402 sensor_telescope3_phys StepLimiter
  119    -1.17    0.175      202   1.2e+05 0.000548     0.01       402 sensor_telescope3_phys StepLimiter
